

Idaho (PST) SNOTEL Site Banner Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 29 20:48:25 GMT-08:00 2021. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
312,2015-01-04,16:00,    10.4,    14.5,    -2.8,      40,
312,2015-01-04,17:00,    10.4,    14.4,    -2.8,      40,
312,2015-01-04,18:00,    10.4,    14.5,    -2.8,      40,
312,2015-01-04,19:00,    10.4,    14.5,    -2.6,      39,
312,2015-01-04,20:00,    10.5,    14.5,    -2.4,-99.9,
312,2015-01-04,21:00,    10.6,    14.6,    -2.3,-99.9,
312,2015-01-04,22:00,    10.6,    14.6,    -2.1,      41,
312,2015-01-04,23:00,    10.6,    14.7,    -1.9,-99.9,
312,2015-01-05,00:00,    10.7,    14.7,    -1.7,      44,
312,2015-01-05,01:00,    10.8,    14.8,    -1.3,-99.9,
312,2015-01-05,02:00,    10.9,    14.9,    -1.1,      44,
312,2015-01-05,03:00,    10.9,    14.9,    -0.8,      45,
312,2015-01-05,04:00,    11.0,    15.0,    -0.8,      44,
312,2015-01-05,05:00,    11.0,    15.0,    -0.8,      45,
312,2015-01-05,06:00,    11.1,    15.1,    -0.9,      45,
312,2015-01-05,07:00,    11.1,    15.1,    -0.9,      45,
312,2015-01-05,08:00,    11.1,    15.1,    -0.7,      46,
312,2015-01-05,09:00,    11.1,    15.1,    -0.5,      46,
312,2015-01-05,10:00,    11.2,    15.1,    -0.5,      44,
312,2015-01-05,11:00,    11.2,    15.2,    -0.2,      46,
312,2015-01-05,12:00,    11.3,    15.2,    -0.1,-99.9,
312,2015-01-05,13:00,    11.3,    15.3,     0.1,      47,
312,2015-01-05,14:00,    11.3,    15.3,     1.0,      47,
312,2015-01-05,15:00,    11.3,    15.3,     0.5,      47,
312,2015-01-05,16:00,    11.3,    15.3,     0.1,      47,
312,2015-01-05,17:00,    11.3,    15.4,    -0.3,      47,
312,2015-01-05,18:00,    11.3,    15.4,    -0.4,      47,
312,2015-01-05,19:00,    11.4,    15.4,    -0.5,      46,
312,2015-01-05,20:00,    11.4,    15.4,    -0.8,      46,
312,2015-01-05,21:00,    11.3,    15.4,    -0.7,      46,
312,2015-01-05,22:00,    11.4,    15.4,    -0.7,      46,
312,2015-01-05,23:00,    11.4,    15.4,    -2.3,      46,
312,2015-01-06,00:00,    11.4,    15.4,    -2.0,      46,
312,2015-01-06,01:00,    11.4,    15.4,    -1.7,      46,
312,2015-01-06,02:00,    11.4,    15.4,    -1.4,      46,
312,2015-01-06,03:00,    11.4,    15.4,    -1.8,      46,
312,2015-01-06,04:00,    11.4,    15.4,    -2.4,      46,
312,2015-01-06,05:00,    11.4,    15.4,    -2.8,      46,
312,2015-01-06,06:00,    11.3,    15.4,    -2.2,      46,
312,2015-01-06,07:00,    11.4,    15.4,    -2.3,      45,
312,2015-01-06,08:00,    11.4,    15.4,    -1.9,      45,
312,2015-01-06,09:00,    11.4,    15.4,    -0.1,      45,
312,2015-01-06,10:00,    11.4,    15.4,     3.3,      45,
312,2015-01-06,11:00,    11.4,    15.4,     4.5,      44,
312,2015-01-06,12:00,    11.4,    15.4,     6.9,      44,
312,2015-01-06,13:00,    11.4,    15.4,     7.4,      44,
312,2015-01-06,14:00,    11.4,    15.4,     4.0,      44,
312,2015-01-06,15:00,    11.4,    15.5,     2.4,      45,
312,2015-01-06,16:00,    11.4,    15.5,     0.8,      45,
312,2015-01-06,17:00,    11.4,    15.5,     0.3,      44,
312,2015-01-06,18:00,    11.4,    15.5,     0.0,      44,
312,2015-01-06,19:00,    11.4,    15.5,     0.0,      44,
312,2015-01-06,20:00,    11.4,    15.5,    -0.4,      42,
312,2015-01-06,21:00,    11.4,    15.5,    -0.7,      43,
312,2015-01-06,22:00,    11.4,    15.5,     0.3,      42,
312,2015-01-06,23:00,    11.4,    15.5,    -0.4,-99.9,
312,2015-01-07,00:00,    11.4,    15.5,    -1.3,      42,
312,2015-01-07,01:00,    11.4,    15.5,    -1.8,      43,
312,2015-01-07,02:00,    11.4,    15.5,    -2.2,      42,
312,2015-01-07,03:00,    11.4,    15.5,    -1.9,      43,
312,2015-01-07,04:00,    11.4,    15.5,    -1.5,      43,
312,2015-01-07,05:00,    11.4,    15.5,    -1.6,      42,
312,2015-01-07,06:00,    11.4,    15.5,    -1.8,      43,
312,2015-01-07,07:00,    11.4,    15.5,    -1.9,      43,
312,2015-01-07,08:00,    11.4,    15.5,    -1.8,      43,
312,2015-01-07,09:00,    11.4,    15.5,    -1.0,      43,
312,2015-01-07,10:00,    11.4,    15.5,     0.5,      44,
312,2015-01-07,11:00,    11.4,    15.5,     2.2,      44,
312,2015-01-07,12:00,    11.4,    15.5,     4.4,      43,
312,2015-01-07,13:00,    11.5,    15.5,     4.7,      43,
312,2015-01-07,14:00,    11.4,    15.5,     2.4,      43,
312,2015-01-07,15:00,    11.4,    15.5,     2.2,      43,
312,2015-01-07,16:00,    11.4,    15.5,     0.9,      43,
312,2015-01-07,17:00,    11.4,    15.5,     0.3,      43,
312,2015-01-07,18:00,    11.4,    15.5,    -0.4,      43,
312,2015-01-07,19:00,    11.4,    15.5,    -0.9,      43,
312,2015-01-07,20:00,    11.4,    15.5,    -1.6,      43,
312,2015-01-07,21:00,    11.4,    15.5,    -2.1,      43,
312,2015-01-07,22:00,    11.4,    15.5,    -2.2,      43,
312,2015-01-07,23:00,    11.4,    15.5,    -2.3,      43,
312,2015-01-08,00:00,    11.4,    15.5,    -3.3,      43,
312,2015-01-08,01:00,    11.4,    15.5,    -4.4,      43,
312,2015-01-08,02:00,    11.4,    15.5,    -6.1,      43,
312,2015-01-08,03:00,    11.4,    15.5,    -6.9,      43,
312,2015-01-08,04:00,    11.4,    15.5,    -6.5,      43,
312,2015-01-08,05:00,    11.4,    15.5,    -7.2,      43,
312,2015-01-08,06:00,    11.3,    15.5,    -4.3,      43,
312,2015-01-08,07:00,    11.4,    15.5,    -5.3,      43,
312,2015-01-08,08:00,    11.4,    15.5,    -6.6,      43,
312,2015-01-08,09:00,    11.4,    15.5,    -5.8,      43,
312,2015-01-08,10:00,    11.4,    15.5,    -1.0,      43,
312,2015-01-08,11:00,    11.4,    15.5,    -0.1,      43,
312,2015-01-08,12:00,    11.4,    15.5,     1.0,      43,
312,2015-01-08,13:00,    11.4,    15.5,     3.2,      43,
312,2015-01-08,14:00,    11.5,    15.5,     1.1,      43,
312,2015-01-08,15:00,    11.4,    15.5,     0.9,      43,
312,2015-01-08,16:00,    11.4,    15.5,    -0.1,      43,
